hostname,ip_address,status,response_time,last_tested_at,description,pendencies,failure_reason
pl5-psql-2.planeta.net,172.25.179.196,connected,85,2025-09-10 17:39:17,Conectividade OK via bastion,,
PL4-IVR-SDP-MOB-5,172.25.179.162,connected,395,2025-09-10 17:39:17,Conectividade OK via bastion,,
Pl-ivr-app7,172.25.179.229,connected,143,2025-09-10 17:39:17,Conectividade OK via bastion,,
Pl-ivr-app8,172.25.179.230,connected,140,2025-09-10 17:39:17,Conectividade OK via bastion,,
Pl-ivr-app12,172.25.179.235,connected,143,2025-09-10 17:39:17,Conectividade OK via bastion,,
Rancher-Admin-prd01,172.20.51.100,failed,0,2025-09-10 17:39:17,Rede inacessível,Corrigir rota/DNS/VPN/firewall,network_unreachable
Rancher-Admin-prd02,172.20.51.101,failed,0,2025-09-10 17:39:17,Rede inacessível,Corrigir rota/DNS/VPN/firewall,network_unreachable
Rancher-Admin-prd03,172.20.51.102,failed,0,2025-09-10 17:39:17,Rede inacessível,Corrigir rota/DNS/VPN/firewall,network_unreachable
Pl-ivr-app13,172.25.179.236,connected,145,2025-09-10 17:39:17,Conectividade OK via bastion,,
pl4-back-grav-03,172.25.179.237,connected,142,2025-09-10 17:39:17,Conectividade OK via bastion,,
smsc-smpp-4,172.25.208.23,connected,142,2025-09-10 17:39:17,Conectividade OK via bastion,,
pl4-log-indexer-1,172.25.179.241,connected,207,2025-09-10 17:39:17,Conectividade OK via bastion,,
smsc2-map-02.planeta.net,172.25.208.25,connected,171,2025-09-10 17:39:17,Conectividade OK via bastion,,
smsc2-map-04.planeta.net,172.25.208.27,connected,174,2025-09-10 17:39:17,Conectividade OK via bastion,,
Rancher-worker-prd03,172.20.54.10,failed,0,2025-09-10 17:39:17,Rede inacessível,Corrigir rota/DNS/VPN/firewall,network_unreachable
smsc2-map-03.planeta.net,172.25.208.26,connected,197,2025-09-10 17:39:17,Conectividade OK via bastion,,
Rancher-worker-prd04,172.20.54.11,failed,0,2025-09-10 17:39:17,Rede inacessível,Corrigir rota/DNS/VPN/firewall,network_unreachable
Rancher-master-prd01,172.20.54.5,failed,0,2025-09-10 17:39:17,Rede inacessível,Corrigir rota/DNS/VPN/firewall,network_unreachable
Rancher-master-prd02,172.20.54.6,failed,0,2025-09-10 17:39:17,Rede inacessível,Corrigir rota/DNS/VPN/firewall,network_unreachable
radius-ciscoar-temp01_v90,172.25.75.17,connected,98,2025-09-10 17:39:17,Conectividade OK via bastion,,
Rancher-worker-prd01,172.20.54.8,failed,0,2025-09-10 17:39:17,Rede inacessível,Corrigir rota/DNS/VPN/firewall,network_unreachable
app-policy-prd01-238,172.25.75.106,connected,157,2025-09-10 17:39:17,Conectividade OK via bastion,,
Rancher-master-prd03,172.20.54.7,failed,0,2025-09-10 17:39:17,Rede inacessível,Corrigir rota/DNS/VPN/firewall,network_unreachable
db-policy-prd01-238,172.25.75.107,connected,152,2025-09-10 17:39:17,Conectividade OK via bastion,,
Rancher-worker-stg03,172.20.55.10,failed,0,2025-09-10 17:39:17,Rede inacessível,Corrigir rota/DNS/VPN/firewall,network_unreachable
Rancher-worker-stg04,172.20.55.11,failed,0,2025-09-10 17:39:17,Rede inacessível,Corrigir rota/DNS/VPN/firewall,network_unreachable
cds-hos-17,172.25.76.12,connected,71,2025-09-10 17:39:17,Conectividade OK via bastion,,
eris-1.planeta.net,172.25.76.116,connected,91,2025-09-10 17:39:17,Conectividade OK via bastion,,
smdpx01,172.25.254.26,connected,262,2025-09-10 17:39:17,Conectividade OK via bastion,,
smsc2-smpp-05,172.25.208.95,connected,371,2025-09-10 17:39:17,Conectividade OK via bastion,,
pl4-hos-10,172.25.76.160,connected,76,2025-09-10 17:39:17,Conectividade OK via bastion,,
pl4-mob-2.planeta.net,172.25.76.151,connected,136,2025-09-10 17:39:17,Conectividade OK via bastion,,
pl4-iotbr-prd01,172.25.76.126,connected,192,2025-09-10 17:39:17,Conectividade OK via bastion,,
pl4-mob-3.planeta.net,172.25.76.162,connected,133,2025-09-10 17:39:17,Conectividade OK via bastion,,
pl4-ivr-mob-2,172.25.76.101,connected,325,2025-09-10 17:39:17,Conectividade OK via bastion,,
pl4-ivr-mob-1,172.25.76.100,connected,337,2025-09-10 17:39:17,Conectividade OK via bastion,,
pl4-ivr-sdp-mob-4.planeta.net,172.25.76.138,connected,255,2025-09-10 17:39:18,Conectividade OK via bastion,,
pl4-ivr-mob-3,172.25.76.102,connected,307,2025-09-10 17:39:18,Conectividade OK via bastion,,
pl4-hom1,172.25.76.18,connected,76,2025-09-10 17:39:18,Conectividade OK via bastion,,
pl4-ivr-mob-4,172.25.76.103,connected,328,2025-09-10 17:39:18,Conectividade OK via bastion,,
pl4-ivr-sdp-mob-2.planeta.net,172.25.76.136,connected,315,2025-09-10 17:39:18,Conectividade OK via bastion,,
aid-hos-23,172.25.76.19,connected,62,2025-09-10 17:39:18,Conectividade OK via bastion,,
pl4-nv-esb-1.planeta.net,172.25.76.182,connected,116,2025-09-10 17:39:18,Conectividade OK via bastion,,
PL4-BALANCER-1.planeta.net,172.25.76.17,connected,180,2025-09-10 17:39:18,Conectividade OK via bastion,,
pl4-nv-esb-2.planeta.net,172.25.76.183,connected,124,2025-09-10 17:39:18,Conectividade OK via bastion,,
pl-sdp-v4-app-3,172.25.76.166,connected,226,2025-09-10 17:39:18,Conectividade OK via bastion,,
pl4-ivr-sdp-mob-3.planeta.net,172.25.76.137,connected,347,2025-09-10 17:39:18,Conectividade OK via bastion,,
pl4-ivr-sdp-mob-1.planeta.net,172.25.76.135,connected,366,2025-09-10 17:39:18,Conectividade OK via bastion,,
tam-01.planeta.net,172.25.76.197,connected,109,2025-09-10 17:39:18,Conectividade OK via bastion,,
pl-grav-monitor-avaya-1,172.25.76.170,connected,223,2025-09-10 17:39:18,Conectividade OK via bastion,,
pl4-nv-mob-5.planeta.net,172.25.76.164,connected,334,2025-09-10 17:39:18,Conectividade OK via bastion,,
ussd-center-01,172.25.76.203,connected,102,2025-09-10 17:39:18,Conectividade OK via bastion,,
pl4-hos-11,172.25.76.212,connected,76,2025-09-10 17:39:18,Conectividade OK via bastion,,
pl4-nv-mob-6.planeta.net,172.25.76.165,connected,320,2025-09-10 17:39:18,Conectividade OK via bastion,,
ussd-center-02,172.25.76.204,connected,121,2025-09-10 17:39:18,Conectividade OK via bastion,,
pl-prd-search-engine-4,172.25.76.190,connected,191,2025-09-10 17:39:18,Conectividade OK via bastion,,
gerencia.planeta.net,172.25.76.222,connected,126,2025-09-10 17:39:18,Conectividade OK via bastion,,
aid-hos-21,172.25.76.6,connected,67,2025-09-10 17:39:18,Conectividade OK via bastion,,
pl4-tts1.planeta.net,172.25.76.22,connected,158,2025-09-10 17:39:18,Conectividade OK via bastion,,
aid-hos-22,172.25.76.7,connected,65,2025-09-10 17:39:18,Conectividade OK via bastion,,
pl4-db-adm1.planeta.net,172.25.76.54,connected,124,2025-09-10 17:39:18,Conectividade OK via bastion,,
